player_uid,player_name,role,season,metric_key,metric_label,metric_value
h_1000068590,"Strand, Matthew",hitters,2026,p90_ev_wood_adj,P90 EV (Wood Adj),97.56021
h_1000068590,"Strand, Matthew",hitters,2026,contact_rate,Contact Rate,33.333333333333336
h_1000068590,"Strand, Matthew",hitters,2026,chase_rate,Chase Rate,41.666666666666664
h_1000068590,"Strand, Matthew",hitters,NA,p90_ev_wood_adj,P90 EV (Wood Adj),NA
h_1000068590,"Strand, Matthew",hitters,NA,contact_rate,Contact Rate,NA
h_1000068590,"Strand, Matthew",hitters,NA,chase_rate,Chase Rate,NA
h_1000072078,"Flores, Nick",hitters,2026,p90_ev_wood_adj,P90 EV (Wood Adj),95.71658599999999
h_1000072078,"Flores, Nick",hitters,2026,contact_rate,Contact Rate,66.66666666666667
h_1000072078,"Flores, Nick",hitters,2026,chase_rate,Chase Rate,40
h_1000087044,"Son, Junho",hitters,2026,p90_ev_wood_adj,P90 EV (Wood Adj),96.111062
h_1000087044,"Son, Junho",hitters,2026,contact_rate,Contact Rate,100
h_1000087044,"Son, Junho",hitters,2026,chase_rate,Chase Rate,11.11111111111111
h_1000091127,"Powell, Brady",hitters,2026,p90_ev_wood_adj,P90 EV (Wood Adj),74.076836
h_1000091127,"Powell, Brady",hitters,2026,contact_rate,Contact Rate,100
h_1000091127,"Powell, Brady",hitters,2026,chase_rate,Chase Rate,33.333333333333336
h_1000091685,"Gracia, AJ",hitters,2026,p90_ev_wood_adj,P90 EV (Wood Adj),99.271616
h_1000091685,"Gracia, AJ",hitters,2026,contact_rate,Contact Rate,100
h_1000091685,"Gracia, AJ",hitters,2026,chase_rate,Chase Rate,16.666666666666668
h_1000114445,"Aycock, Cameron",hitters,2026,p90_ev_wood_adj,P90 EV (Wood Adj),90.56754
h_1000114445,"Aycock, Cameron",hitters,2026,contact_rate,Contact Rate,100
h_1000114445,"Aycock, Cameron",hitters,2026,chase_rate,Chase Rate,50
h_1000115649,"Greco, Anthony",hitters,2026,p90_ev_wood_adj,P90 EV (Wood Adj),88.26818
h_1000115649,"Greco, Anthony",hitters,2026,contact_rate,Contact Rate,100
h_1000115649,"Greco, Anthony",hitters,2026,chase_rate,Chase Rate,NA
h_1000115663,"Lee, Jacob",hitters,2026,p90_ev_wood_adj,P90 EV (Wood Adj),95.79690000000001
h_1000115663,"Lee, Jacob",hitters,2026,contact_rate,Contact Rate,60
h_1000115663,"Lee, Jacob",hitters,2026,chase_rate,Chase Rate,35.714285714285715
h_1000116120,"Guerrero, Jack",hitters,2026,p90_ev_wood_adj,P90 EV (Wood Adj),91.881102
h_1000116120,"Guerrero, Jack",hitters,2026,contact_rate,Contact Rate,100
h_1000116120,"Guerrero, Jack",hitters,2026,chase_rate,Chase Rate,40
h_1000118912,"Melendez, Axel",hitters,2026,p90_ev_wood_adj,P90 EV (Wood Adj),87.918688
h_1000118912,"Melendez, Axel",hitters,2026,contact_rate,Contact Rate,66.66666666666667
h_1000118912,"Melendez, Axel",hitters,2026,chase_rate,Chase Rate,14.285714285714286
h_1000119183,"Curless, Tristan",hitters,2026,p90_ev_wood_adj,P90 EV (Wood Adj),97.398386
h_1000119183,"Curless, Tristan",hitters,2026,contact_rate,Contact Rate,70
h_1000119183,"Curless, Tristan",hitters,2026,chase_rate,Chase Rate,20
h_1000120627,"Smith, Kaden",hitters,2026,p90_ev_wood_adj,P90 EV (Wood Adj),70.42159099999999
h_1000120627,"Smith, Kaden",hitters,2026,contact_rate,Contact Rate,100
h_1000120627,"Smith, Kaden",hitters,2026,chase_rate,Chase Rate,25
h_1000125439,"Bottone, Evan",hitters,2026,p90_ev_wood_adj,P90 EV (Wood Adj),90.635691
h_1000125439,"Bottone, Evan",hitters,2026,contact_rate,Contact Rate,85.71428571428571
h_1000125439,"Bottone, Evan",hitters,2026,chase_rate,Chase Rate,22.22222222222222
h_1000133418,"Whitacre, Brady",hitters,2026,p90_ev_wood_adj,P90 EV (Wood Adj),87.772666
h_1000133418,"Whitacre, Brady",hitters,2026,contact_rate,Contact Rate,100
h_1000133418,"Whitacre, Brady",hitters,2026,chase_rate,Chase Rate,NA
h_1000133703,"Lethert, Teige",hitters,2026,p90_ev_wood_adj,P90 EV (Wood Adj),98.71552799999999
h_1000133703,"Lethert, Teige",hitters,2026,contact_rate,Contact Rate,100
h_1000133703,"Lethert, Teige",hitters,2026,chase_rate,Chase Rate,0
h_1000134813,"Thompson, Clay",hitters,2026,p90_ev_wood_adj,P90 EV (Wood Adj),102.904364
h_1000134813,"Thompson, Clay",hitters,2026,contact_rate,Contact Rate,60
h_1000134813,"Thompson, Clay",hitters,2026,chase_rate,Chase Rate,22.22222222222222
h_1000142987,"Palmese, Jamie",hitters,2026,p90_ev_wood_adj,P90 EV (Wood Adj),91.704228
h_1000142987,"Palmese, Jamie",hitters,2026,contact_rate,Contact Rate,60
h_1000142987,"Palmese, Jamie",hitters,2026,chase_rate,Chase Rate,50
h_1000148955,"Ferguson, Henry",hitters,2026,p90_ev_wood_adj,P90 EV (Wood Adj),85.8506
h_1000148955,"Ferguson, Henry",hitters,2026,contact_rate,Contact Rate,50
h_1000148955,"Ferguson, Henry",hitters,2026,chase_rate,Chase Rate,14.285714285714286
h_1000162895,"Tousa, Cade",hitters,2026,p90_ev_wood_adj,P90 EV (Wood Adj),88.358
h_1000162895,"Tousa, Cade",hitters,2026,contact_rate,Contact Rate,75
h_1000162895,"Tousa, Cade",hitters,2026,chase_rate,Chase Rate,25
h_1000182451,"Schmidly, Ike",hitters,2026,p90_ev_wood_adj,P90 EV (Wood Adj),104.58625
h_1000182451,"Schmidly, Ike",hitters,2026,contact_rate,Contact Rate,88.88888888888889
h_1000182451,"Schmidly, Ike",hitters,2026,chase_rate,Chase Rate,50
h_1000187570,"Iriotakis, Charlie",hitters,2026,p90_ev_wood_adj,P90 EV (Wood Adj),99.77883200000001
h_1000187570,"Iriotakis, Charlie",hitters,2026,contact_rate,Contact Rate,100
h_1000187570,"Iriotakis, Charlie",hitters,2026,chase_rate,Chase Rate,0
h_1000220194,"Perilli, Quinten",hitters,2026,p90_ev_wood_adj,P90 EV (Wood Adj),84.57632000000001
h_1000220194,"Perilli, Quinten",hitters,2026,contact_rate,Contact Rate,75
h_1000220194,"Perilli, Quinten",hitters,2026,chase_rate,Chase Rate,0
h_1000222330,"Kamerer, Tyler",hitters,2026,p90_ev_wood_adj,P90 EV (Wood Adj),87.619366
h_1000222330,"Kamerer, Tyler",hitters,2026,contact_rate,Contact Rate,100
h_1000222330,"Kamerer, Tyler",hitters,2026,chase_rate,Chase Rate,50
h_1000224300,"Maher, Quinn",hitters,2026,p90_ev_wood_adj,P90 EV (Wood Adj),76.98931
h_1000224300,"Maher, Quinn",hitters,2026,contact_rate,Contact Rate,90.9090909090909
h_1000224300,"Maher, Quinn",hitters,2026,chase_rate,Chase Rate,27.77777777777778
h_1000242087,"Juarez, Gabe",hitters,2026,p90_ev_wood_adj,P90 EV (Wood Adj),101.04315
h_1000242087,"Juarez, Gabe",hitters,2026,contact_rate,Contact Rate,33.333333333333336
h_1000242087,"Juarez, Gabe",hitters,2026,chase_rate,Chase Rate,66.66666666666667
h_1000242407,"Matlock, Luke",hitters,2026,p90_ev_wood_adj,P90 EV (Wood Adj),87.58714400000001
h_1000242407,"Matlock, Luke",hitters,2026,contact_rate,Contact Rate,60
h_1000242407,"Matlock, Luke",hitters,2026,chase_rate,Chase Rate,12.5
h_1000278564,"Tiroly, Joe",hitters,2026,p90_ev_wood_adj,P90 EV (Wood Adj),80.72022600000001
h_1000278564,"Tiroly, Joe",hitters,2026,contact_rate,Contact Rate,100
h_1000278564,"Tiroly, Joe",hitters,2026,chase_rate,Chase Rate,0
h_1000281920,"Galusky, Ty",hitters,2026,p90_ev_wood_adj,P90 EV (Wood Adj),55.113
h_1000281920,"Galusky, Ty",hitters,2026,contact_rate,Contact Rate,100
h_1000281920,"Galusky, Ty",hitters,2026,chase_rate,Chase Rate,42.857142857142854
h_1000281926,"Little, Joey",hitters,2026,p90_ev_wood_adj,P90 EV (Wood Adj),90.93875
h_1000281926,"Little, Joey",hitters,2026,contact_rate,Contact Rate,100
h_1000281926,"Little, Joey",hitters,2026,chase_rate,Chase Rate,0
h_1000301840,"Havrilla, Aj",hitters,2026,p90_ev_wood_adj,P90 EV (Wood Adj),82.00899
h_1000301840,"Havrilla, Aj",hitters,2026,contact_rate,Contact Rate,100
h_1000301840,"Havrilla, Aj",hitters,2026,chase_rate,Chase Rate,0
h_1000301843,"Murdoch, Ethan",hitters,2026,p90_ev_wood_adj,P90 EV (Wood Adj),97.66046
h_1000301843,"Murdoch, Ethan",hitters,2026,contact_rate,Contact Rate,100
h_1000301843,"Murdoch, Ethan",hitters,2026,chase_rate,Chase Rate,14.285714285714286
h_1000302625,"O'Neil, Liam",hitters,2026,p90_ev_wood_adj,P90 EV (Wood Adj),90.380015
h_1000302625,"O'Neil, Liam",hitters,2026,contact_rate,Contact Rate,50
h_1000302625,"O'Neil, Liam",hitters,2026,chase_rate,Chase Rate,40
h_1000304697,"Santangelo, Ryan",hitters,2026,p90_ev_wood_adj,P90 EV (Wood Adj),NA
h_1000304697,"Santangelo, Ryan",hitters,2026,contact_rate,Contact Rate,33.333333333333336
h_1000304697,"Santangelo, Ryan",hitters,2026,chase_rate,Chase Rate,33.333333333333336
h_1000314364,"Guanzon, Ian",hitters,2026,p90_ev_wood_adj,P90 EV (Wood Adj),97.14662399999999
h_1000314364,"Guanzon, Ian",hitters,2026,contact_rate,Contact Rate,83.33333333333333
h_1000314364,"Guanzon, Ian",hitters,2026,chase_rate,Chase Rate,14.285714285714286
h_1000328644,"Fetterman, Tyler",hitters,2026,p90_ev_wood_adj,P90 EV (Wood Adj),101.99356800000001
h_1000328644,"Fetterman, Tyler",hitters,2026,contact_rate,Contact Rate,100
h_1000328644,"Fetterman, Tyler",hitters,2026,chase_rate,Chase Rate,0
h_1000339305,"Harrison, Connor",hitters,2026,p90_ev_wood_adj,P90 EV (Wood Adj),99.35350400000002
h_1000339305,"Harrison, Connor",hitters,2026,contact_rate,Contact Rate,70
h_1000339305,"Harrison, Connor",hitters,2026,chase_rate,Chase Rate,54.54545454545455
h_1000343411,"Christman, Trey",hitters,2026,p90_ev_wood_adj,P90 EV (Wood Adj),92.86996500000001
h_1000343411,"Christman, Trey",hitters,2026,contact_rate,Contact Rate,42.857142857142854
h_1000343411,"Christman, Trey",hitters,2026,chase_rate,Chase Rate,22.22222222222222
h_1000361026,"Moody, Reece",hitters,2026,p90_ev_wood_adj,P90 EV (Wood Adj),93.81246999999999
h_1000361026,"Moody, Reece",hitters,2026,contact_rate,Contact Rate,100
h_1000361026,"Moody, Reece",hitters,2026,chase_rate,Chase Rate,22.22222222222222
h_1000462698,"Duncan, Andrew",hitters,2026,p90_ev_wood_adj,P90 EV (Wood Adj),NA
h_1000462698,"Duncan, Andrew",hitters,2026,contact_rate,Contact Rate,100
h_1000462698,"Duncan, Andrew",hitters,2026,chase_rate,Chase Rate,100
h_1000462705,"Perez, Brooks",hitters,2026,p90_ev_wood_adj,P90 EV (Wood Adj),94.31968699999999
h_1000462705,"Perez, Brooks",hitters,2026,contact_rate,Contact Rate,75
h_1000462705,"Perez, Brooks",hitters,2026,chase_rate,Chase Rate,25
h_1000462706,"Anderson, Collin",hitters,2026,p90_ev_wood_adj,P90 EV (Wood Adj),99.99331
h_1000462706,"Anderson, Collin",hitters,2026,contact_rate,Contact Rate,100
h_1000462706,"Anderson, Collin",hitters,2026,chase_rate,Chase Rate,0
h_1000480577,"Bartletti, Louis",hitters,2026,p90_ev_wood_adj,P90 EV (Wood Adj),96.659294
h_1000480577,"Bartletti, Louis",hitters,2026,contact_rate,Contact Rate,85.71428571428571
h_1000480577,"Bartletti, Louis",hitters,2026,chase_rate,Chase Rate,50
h_10009966,"Laskofski, Jamie",hitters,2026,p90_ev_wood_adj,P90 EV (Wood Adj),85.307103
h_10009966,"Laskofski, Jamie",hitters,2026,contact_rate,Contact Rate,71.42857142857143
h_10009966,"Laskofski, Jamie",hitters,2026,chase_rate,Chase Rate,25
h_10025207,"Woolwine, Jackson",hitters,2026,p90_ev_wood_adj,P90 EV (Wood Adj),NA
h_10025207,"Woolwine, Jackson",hitters,2026,contact_rate,Contact Rate,0
h_10025207,"Woolwine, Jackson",hitters,2026,chase_rate,Chase Rate,33.333333333333336
h_10025942,"Chavez, Conner",hitters,2026,p90_ev_wood_adj,P90 EV (Wood Adj),84.74674
h_10025942,"Chavez, Conner",hitters,2026,contact_rate,Contact Rate,71.42857142857143
h_10025942,"Chavez, Conner",hitters,2026,chase_rate,Chase Rate,50
h_10026274,"Keen, Hunter",hitters,2026,p90_ev_wood_adj,P90 EV (Wood Adj),81.597338
h_10026274,"Keen, Hunter",hitters,2026,contact_rate,Contact Rate,85.71428571428571
h_10026274,"Keen, Hunter",hitters,2026,chase_rate,Chase Rate,37.5
h_10054378,"Gubba, Wil",hitters,2026,p90_ev_wood_adj,P90 EV (Wood Adj),69.544285
h_10054378,"Gubba, Wil",hitters,2026,contact_rate,Contact Rate,40
h_10054378,"Gubba, Wil",hitters,2026,chase_rate,Chase Rate,50
h_10054885,"Hinson, Cooper",hitters,2026,p90_ev_wood_adj,P90 EV (Wood Adj),89.03055
h_10054885,"Hinson, Cooper",hitters,2026,contact_rate,Contact Rate,100
h_10054885,"Hinson, Cooper",hitters,2026,chase_rate,Chase Rate,0
h_10063085,"Petite, Michael",hitters,2026,p90_ev_wood_adj,P90 EV (Wood Adj),105.671917
h_10063085,"Petite, Michael",hitters,2026,contact_rate,Contact Rate,62.5
h_10063085,"Petite, Michael",hitters,2026,chase_rate,Chase Rate,50
h_10069127,"Kiel II, Terrence",hitters,2026,p90_ev_wood_adj,P90 EV (Wood Adj),87.364139
h_10069127,"Kiel II, Terrence",hitters,2026,contact_rate,Contact Rate,75
h_10069127,"Kiel II, Terrence",hitters,2026,chase_rate,Chase Rate,0
h_10077581,"Hudgins, Eli",hitters,2026,p90_ev_wood_adj,P90 EV (Wood Adj),90.4231
h_10077581,"Hudgins, Eli",hitters,2026,contact_rate,Contact Rate,100
h_10077581,"Hudgins, Eli",hitters,2026,chase_rate,Chase Rate,50
h_10077581,"Hudgins, Eli",hitters,2026,p90_ev_wood_adj,P90 EV (Wood Adj),NA
h_10077581,"Hudgins, Eli",hitters,2026,contact_rate,Contact Rate,20
h_10077581,"Hudgins, Eli",hitters,2026,chase_rate,Chase Rate,33.333333333333336
h_10078856,"Barrow, Ben",hitters,2026,p90_ev_wood_adj,P90 EV (Wood Adj),94.27216
h_10078856,"Barrow, Ben",hitters,2026,contact_rate,Contact Rate,100
h_10078856,"Barrow, Ben",hitters,2026,chase_rate,Chase Rate,0
h_10100750,"Partida, Nicholas",hitters,2026,p90_ev_wood_adj,P90 EV (Wood Adj),83.770289
h_10100750,"Partida, Nicholas",hitters,2026,contact_rate,Contact Rate,75
h_10100750,"Partida, Nicholas",hitters,2026,chase_rate,Chase Rate,12.5
h_10100779,"Ecker, Chase",hitters,2026,p90_ev_wood_adj,P90 EV (Wood Adj),93.13833
h_10100779,"Ecker, Chase",hitters,2026,contact_rate,Contact Rate,33.333333333333336
h_10100779,"Ecker, Chase",hitters,2026,chase_rate,Chase Rate,0
h_10106448,"Kosuda, Matthew",hitters,2026,p90_ev_wood_adj,P90 EV (Wood Adj),88.21789
h_10106448,"Kosuda, Matthew",hitters,2026,contact_rate,Contact Rate,66.66666666666667
h_10106448,"Kosuda, Matthew",hitters,2026,chase_rate,Chase Rate,66.66666666666667
h_10106448,"Kosuda, Matthew",hitters,2026,p90_ev_wood_adj,P90 EV (Wood Adj),NA
h_10106448,"Kosuda, Matthew",hitters,2026,contact_rate,Contact Rate,50
h_10106448,"Kosuda, Matthew",hitters,2026,chase_rate,Chase Rate,75
h_10121639,"Haesler, Keegan",hitters,2026,p90_ev_wood_adj,P90 EV (Wood Adj),94.092962
h_10121639,"Haesler, Keegan",hitters,2026,contact_rate,Contact Rate,100
h_10121639,"Haesler, Keegan",hitters,2026,chase_rate,Chase Rate,0
h_10139818,"Nace, Breckin",hitters,2026,p90_ev_wood_adj,P90 EV (Wood Adj),86.920242
h_10139818,"Nace, Breckin",hitters,2026,contact_rate,Contact Rate,100
h_10139818,"Nace, Breckin",hitters,2026,chase_rate,Chase Rate,33.333333333333336
h_10264381,"Gocio, Ryan",hitters,2026,p90_ev_wood_adj,P90 EV (Wood Adj),92.195206
h_10264381,"Gocio, Ryan",hitters,2026,contact_rate,Contact Rate,100
h_10264381,"Gocio, Ryan",hitters,2026,chase_rate,Chase Rate,20
h_10277040,"Seguin, Josiah",hitters,2026,p90_ev_wood_adj,P90 EV (Wood Adj),90.73208
h_10277040,"Seguin, Josiah",hitters,2026,contact_rate,Contact Rate,50
h_10277040,"Seguin, Josiah",hitters,2026,chase_rate,Chase Rate,42.857142857142854
h_10277040,"Seguin, Josiah",hitters,2026,p90_ev_wood_adj,P90 EV (Wood Adj),NA
h_10277040,"Seguin, Josiah",hitters,2026,contact_rate,Contact Rate,100
h_10277040,"Seguin, Josiah",hitters,2026,chase_rate,Chase Rate,0
h_10281913,"Langley, Kyle",hitters,2026,p90_ev_wood_adj,P90 EV (Wood Adj),99.67814800000001
h_10281913,"Langley, Kyle",hitters,2026,contact_rate,Contact Rate,70
h_10281913,"Langley, Kyle",hitters,2026,chase_rate,Chase Rate,50
h_695674,"Hughes, Treyson",hitters,2025,p90_ev_wood_adj,P90 EV (Wood Adj),98.734882
h_695674,"Hughes, Treyson",hitters,2025,contact_rate,Contact Rate,82.3529411764706
h_695674,"Hughes, Treyson",hitters,2025,chase_rate,Chase Rate,12.5
h_695674,"Hughes, Treyson",hitters,2026,p90_ev_wood_adj,P90 EV (Wood Adj),97.28114400000001
h_695674,"Hughes, Treyson",hitters,2026,contact_rate,Contact Rate,75
h_695674,"Hughes, Treyson",hitters,2026,chase_rate,Chase Rate,18.46153846153846
h_695674,"Hughes, Treyson",hitters,NA,p90_ev_wood_adj,P90 EV (Wood Adj),NA
h_695674,"Hughes, Treyson",hitters,NA,contact_rate,Contact Rate,NA
h_695674,"Hughes, Treyson",hitters,NA,chase_rate,Chase Rate,NA
h_695674,"Hughes, Treyson",hitters,NA,p90_ev_wood_adj,P90 EV (Wood Adj),NA
h_695674,"Hughes, Treyson",hitters,NA,contact_rate,Contact Rate,NA
h_695674,"Hughes, Treyson",hitters,NA,chase_rate,Chase Rate,NA
h_695718,"Marsh, Bobby",hitters,2026,p90_ev_wood_adj,P90 EV (Wood Adj),87.27168
h_695718,"Marsh, Bobby",hitters,2026,contact_rate,Contact Rate,100
h_695718,"Marsh, Bobby",hitters,2026,chase_rate,Chase Rate,50
h_698840,"Nati, Jimmy",hitters,2026,p90_ev_wood_adj,P90 EV (Wood Adj),NA
h_698840,"Nati, Jimmy",hitters,2026,contact_rate,Contact Rate,50
h_698840,"Nati, Jimmy",hitters,2026,chase_rate,Chase Rate,25
h_702256,"Chapman, Reese",hitters,2026,p90_ev_wood_adj,P90 EV (Wood Adj),89.775445
h_702256,"Chapman, Reese",hitters,2026,contact_rate,Contact Rate,60
h_702256,"Chapman, Reese",hitters,2026,chase_rate,Chase Rate,40
h_702701,"Brosius, Parker",hitters,2026,p90_ev_wood_adj,P90 EV (Wood Adj),NA
h_702701,"Brosius, Parker",hitters,2026,contact_rate,Contact Rate,100
h_702701,"Brosius, Parker",hitters,2026,chase_rate,Chase Rate,NA
h_702713,"Binderup, Blake",hitters,2026,p90_ev_wood_adj,P90 EV (Wood Adj),78.19906
h_702713,"Binderup, Blake",hitters,2026,contact_rate,Contact Rate,66.66666666666667
h_702713,"Binderup, Blake",hitters,2026,chase_rate,Chase Rate,20
